customer_id,account_balance,credit_limit,monthly_spending,credit_score,account_type,risk_category,years_with_bank,monthly_income,loan_amount,payment_history_score,utilization_ratio,debt_to_income,risk_score,profit_margin
1,6279.66,9206.646530694417,1251.53,300,Investment,Medium,2,13271.15,19283.96,0.8268889614780781,0.136,0.121,2.35,31.31
2,2422.62,6123.824176385612,376.26,300,Investment,Low,12,10700.49,19110.56,0.6935250059674435,0.061,0.149,1.87,9.95
3,7875.66,32185.0822276382,718.52,700,Credit,Low,17,7825.11,76876.42,0.8236111416989278,0.022,0.819,0.39,22.25
4,29276.63,35617.31059785816,1826.53,400,Credit,Low,10,8342.7,26558.76,0.5223841943442434,0.051,0.265,2.44,65.81
5,2098.06,2547.7210964564597,4052.41,400,Savings,High,2,4655.33,76723.34,0.5270238136748633,1.0,1.373,47.3,83.15
6,2098.11,46874.4000659408,2945.83,700,Checking,High,6,10148.43,20588.73,0.7286152098097722,0.063,0.169,1.71,61.01
7,31850.85,3546.592898922148,2660.81,700,Checking,High,8,6663.65,32168.64,0.7748111505530175,0.75,0.402,16.89,85.07
8,9425.29,27523.520429752454,1608.75,800,Investment,Medium,19,14943.39,46548.7,0.9439088201679096,0.058,0.26,0.33,41.6
9,1474.08,35743.965453094905,4672.42,850,Credit,Medium,11,8242.39,94319.58,0.5523303169539482,0.131,0.954,5.86,94.92
10,6726.7,43677.4870635582,2105.67,600,Savings,Low,12,8316.51,93173.14,0.9113239635969447,0.048,0.934,0.43,48.84
11,1487.53,35990.25967448896,618.05,700,Savings,Medium,9,9356.07,20687.19,0.6050236686460349,0.017,0.184,0.67,13.85
12,1482.38,40284.6760704198,3161.92,500,Savings,Low,2,13917.83,35821.9,0.6970418242550159,0.078,0.214,2.36,64.72
13,4285.29,17633.059434597497,746.42,400,Savings,Low,8,12410.64,14939.94,0.6583012174137064,0.042,0.1,1.44,19.21
14,169.03,40926.4305735791,1857.07,700,Savings,Low,11,7864.69,50998.51,0.7000776364326995,0.045,0.54,1.35,37.31
15,224.22,4925.627472849082,2635.58,500,Checking,Medium,4,11343.09,46058.26,0.5752477490362928,0.535,0.338,22.72,52.94
16,1282.5,44846.016146965856,4396.27,500,Checking,High,10,9621.06,90076.02,0.7517850372017775,0.098,0.78,2.43,89.21
17,652.46,27832.026431533075,2569.02,500,Checking,Medium,16,8400.77,93000.54,0.9008212949156836,0.092,0.923,0.91,52.03
18,4776.06,41047.59072816219,3570.84,800,Credit,Low,8,4500.11,38356.74,0.7207670051894485,0.087,0.71,2.43,76.19
19,763.54,23163.595941396707,4965.52,800,Investment,Low,4,8031.17,49173.79,0.7453067879490995,0.214,0.51,5.45,100.07
20,358.36,32535.307064629724,831.15,500,Savings,Medium,10,5195.64,89623.62,0.9243837926406571,0.026,1.437,0.2,16.98
21,26862.14,26793.73038586955,1518.71,850,Credit,Low,12,13892.95,80670.78,0.8530290573190153,0.057,0.484,0.84,57.24
